Temperature,Clearsky DHI,Clearsky DNI,Relative Humidity,Wind Speed,DNI,Cloud Type,Clearsky GHI,DHI,GHI,Solar Zenith Angle
5,0,0,63.52,1.4,0,0,0,0,0,174.62
4.7,0,0,65.31,1.4,0,0,0,0,0,161.76
6.2,0,0,75.81,1.3,0,0,0,0,0,148.34
5.6,0,0,79.06,1.3,0,0,0,0,0,134.93
5,0,0,82.37,1.4,0,0,0,0,0,121.67
4.5,0,0,85.08,1.5,0,7,0,0,0,108.65
4.9,0,0,82.39,1.9,0,7,0,0,0,96
6.6,37,372,72.66,2.9,0,4,78,24,24,83.78
9,74,692,60.86,3.5,0,7,281,13,13,72.63
11.9,95,823,49.51,3.2,92,7,472,201,243,62.76
14.5,108,889,40.65,3.4,241,7,618,265,403,54.95
15.7,114,920,36.14,3.7,920,0,702,114,702,50.2
16.4,115,923,33.37,3.9,923,0,715,115,715,49.41
16.7,111,901,31.61,4,901,1,657,111,657,52.76
16.6,100,854,30.95,4,854,0,533,100,533,59.55
15.5,84,751,32.72,3.1,751,0,356,84,356,68.76
13,56,512,38.6,2.1,512,0,149,56,149,79.51
10.8,0,0,45.52,2,0,0,0,0,0,91.41
9.8,0,0,50.13,2.1,0,0,0,0,0,103.88
8.9,0,0,54.96,2.1,0,0,0,0,0,116.78
8,0,0,59.95,2,0,0,0,0,0,129.96
7.2,0,0,63.97,2,0,0,0,0,0,143.33
6.5,0,0,66.69,2.1,0,7,0,0,0,156.77
5.9,0,0,68.06,2.1,0,7,0,0,0,170.05
5.3,0,0,68.87,2.2,0,0,0,0,0,174.67
5,0,0,68.1,2.2,0,4,0,0,0,161.86
4.3,0,0,69.25,2.2,0,0,0,0,0,148.43
3.9,0,0,69.44,2.3,0,0,0,0,0,135.02
3.6,0,0,69.81,2.5,0,0,0,0,0,121.75
3.4,0,0,70.62,2.8,0,0,0,0,0,108.72
3.8,0,0,68.86,3.5,0,0,0,0,0,96.06
5.3,51,119,62.35,4.4,119,0,64,51,64,83.82
7.9,118,468,52.57,4.7,468,0,257,118,257,72.66
11.4,149,651,42.43,5.6,651,0,447,149,447,62.76
14,168,742,39.39,7,51,3,594,248,277,54.92
15,181,775,36.01,7.7,775,0,678,181,678,50.14
15.5,184,778,33.74,8.1,778,0,692,184,692,49.31
15.6,182,747,32.3,8.2,747,0,635,182,635,52.64
15.3,170,665,31.53,7.9,665,0,508,170,508,59.41
14.4,146,498,32.3,7.1,498,0,328,146,328,68.62
12.5,90,201,36.82,5.2,201,0,127,90,127,79.38
10.5,0,0,44.3,3.7,0,0,0,0,0,91.27
9.4,0,0,51.51,3.3,0,0,0,0,0,103.74
8.8,0,0,58.64,3.2,0,0,0,0,0,116.65
8.2,0,0,66.73,3.2,0,0,0,0,0,129.83
7.7,0,0,73.55,3.3,0,0,0,0,0,143.2
7.2,0,0,79.32,3.3,0,0,0,0,0,156.64
6.7,0,0,84.19,3.3,0,0,0,0,0,169.92
6.1,0,0,88.91,3.1,0,0,0,0,0,174.7
5.8,0,0,91.36,3,0,0,0,0,0,161.94
5,0,0,96.83,2.8,0,0,0,0,0,148.51
4.5,0,0,100,2.5,0,0,0,0,0,135.1
4,0,0,100,2.2,0,0,0,0,0,121.83
3.5,0,0,100,2,0,0,0,0,0,108.79
3.8,0,0,100,2.2,0,0,0,0,0,96.12
5.5,51,77,93.17,3,77,0,60,51,60,83.87
8,131,406,78.02,3.2,406,0,252,131,252,72.69
11.2,170,598,62.6,2.7,598,0,444,170,444,62.76
13.8,190,701,50.3,2.6,701,0,593,190,593,54.89
14.9,194,759,44.32,2.6,759,1,681,194,681,50.07
15.7,193,771,40.22,2.6,639,7,697,194,612,49.21
16,185,754,38.1,2.6,754,0,643,185,643,52.51
16,164,692,37.09,2.6,114,7,517,232,290,59.27
14.9,136,556,39.24,2.1,556,0,340,136,340,68.47
12.9,85,287,44.6,1.4,287,0,138,85,138,79.24
11.6,0,0,48.77,1,0,0,0,0,0,91.13
11.5,0,0,49.1,0.8,0,0,0,0,0,103.61
11.2,0,0,50.07,0.6,0,0,0,0,0,116.52
10.8,0,0,51.24,0.5,0,0,0,0,0,129.71
10.1,0,0,53.49,0.7,0,0,0,0,0,143.07
9.3,0,0,56.16,0.9,0,0,0,0,0,156.52
8.3,0,0,59.81,1.1,0,0,0,0,0,169.79
7.2,0,0,64.16,1.3,0,0,0,0,0,174.71
6.7,0,0,66.08,1.3,0,0,0,0,0,162.02
5.3,0,0,72.32,1.4,0,0,0,0,0,148.59
4.6,0,0,75.53,1.4,0,0,0,0,0,135.18
4,0,0,78.34,1.4,0,0,0,0,0,121.9
3.5,0,0,80.82,1.4,0,0,0,0,0,108.85
3.7,0,0,79.29,1.4,0,0,0,0,0,96.17
5.7,50,169,68.64,2,169,0,68,50,68,83.9
8.5,109,533,56.31,2.5,533,0,268,109,268,72.7
11.8,140,699,44.92,2.3,699,0,460,140,460,62.76
14.8,158,786,36.04,2.1,786,0,610,158,610,54.85
16.1,177,804,31.51,1.7,804,0,693,177,693,49.99
16.8,176,810,28.91,1.5,810,0,706,176,706,49.1
17.2,167,789,27.24,1.3,789,0,649,167,649,52.38
17.1,151,731,26.61,1.1,731,0,526,151,526,59.13
16.3,124,603,27.42,0.7,603,0,347,124,347,68.33
14.9,79,344,29.73,0.4,344,0,144,79,144,79.09
13.8,0,0,31.93,0.5,0,7,0,0,0,90.99
12.7,0,0,34.34,0.8,0,0,0,0,0,103.47
11.6,0,0,36.9,1,0,0,0,0,0,116.38
10.7,0,0,39.09,1.2,0,0,0,0,0,129.58
10.2,0,0,40.38,1.1,0,0,0,0,0,142.95
9.8,0,0,41.47,1,0,0,0,0,0,156.39
9.4,0,0,42.6,0.9,0,0,0,0,0,169.65
8.9,0,0,44.05,0.8,0,0,0,0,0,174.72
8.6,0,0,44.93,0.7,0,0,0,0,0,162.1
7.5,0,0,48.31,0.8,0,0,0,0,0,148.67
6.8,0,0,50.59,0.9,0,0,0,0,0,135.25
6.1,0,0,52.93,0.9,0,0,0,0,0,121.97
5.2,0,0,56.19,1,0,0,0,0,0,108.91
4.6,0,0,58.26,1.1,0,0,0,0,0,96.22
5.9,50,154,52.85,1.7,154,0,66,50,66,83.94
8.4,112,513,44.05,2.3,513,0,264,112,264,72.72
11.6,144,685,35.19,2.4,685,0,458,144,458,62.75
14.7,164,772,28.65,2.8,772,0,608,164,608,54.81
16.1,171,817,25.36,3.5,817,0,697,171,697,49.91
16.7,171,826,23.71,3.9,826,0,713,171,713,48.98
16.9,165,802,22.9,4.4,802,0,656,165,656,52.24
16.5,149,744,23.09,4.6,744,0,532,149,532,58.98
15.1,123,622,25,3.8,622,0,354,123,354,68.18
12.1,78,373,30.35,2.5,373,0,150,78,150,78.95
9.5,0,0,36.38,2,0,0,0,0,0,90.85
8.4,0,0,39.87,2,0,0,0,0,0,103.33
7.5,0,0,43.79,2,0,0,0,0,0,116.25
6.8,0,0,48.29,1.9,0,0,0,0,0,129.45
6.3,0,0,53.2,2,0,0,0,0,0,142.82
5.9,0,0,58.86,2.3,0,0,0,0,0,156.26
5.6,0,0,65.27,2.6,0,0,0,0,0,169.51
5.1,0,0,73.92,3,0,0,0,0,0,174.72
4.9,0,0,81.05,3.1,0,0,0,0,0,162.17
3.9,0,0,91.35,2.9,0,0,0,0,0,148.74
3.3,0,0,97.22,2.9,0,0,0,0,0,135.32
2.9,0,0,100,3.2,0,0,0,0,0,122.03
2.6,0,0,100,3.6,0,4,0,0,0,108.97
2.7,0,0,98.76,4.1,0,7,0,0,0,96.26
3.9,49,120,87.92,4.5,0,4,62,22,22,83.96
6.4,121,462,71.17,5.1,0,7,258,73,73,72.73
9.2,151,656,57.49,6.3,46,7,452,189,211,62.73
10.9,168,753,52.73,7,208,7,603,270,390,54.76
11.8,182,787,48.57,7.1,98,7,690,306,369,49.82
12.3,191,780,44.75,7.2,780,0,704,191,704,48.86
12.4,193,734,41.92,7.2,734,0,644,193,644,52.09
12.1,175,663,40.59,7,663,0,518,175,518,58.83
11.2,149,517,41.91,6.3,517,0,343,149,343,68.02
9.3,92,259,47.64,4.5,259,0,142,92,142,78.79
7.3,0,0,55.43,3.1,0,0,0,0,0,90.12
6.3,0,0,60.11,2.8,0,0,0,0,0,103.19
5.5,0,0,64.15,2.7,0,0,0,0,0,116.11
4.8,0,0,67.76,2.5,0,0,0,0,0,129.31
4.1,0,0,71.54,2.4,0,7,0,0,0,142.69
3.5,0,0,75.29,2.2,0,0,0,0,0,156.13
3,0,0,78.93,2.1,0,0,0,0,0,169.37
2.5,0,0,82.82,2,0,0,0,0,0,174.71
2.3,0,0,84.98,2,0,0,0,0,0,162.23
1.8,0,0,88.84,2,0,0,0,0,0,148.81
1.4,0,0,92.15,2,0,0,0,0,0,135.39
1.2,0,0,93.99,2,0,0,0,0,0,122.09
1,0,0,95.55,2.1,0,0,0,0,0,109.02
1.6,0,0,91.54,2.6,0,0,0,0,0,96.3
3.3,47,202,80.92,3.4,202,0,68,47,68,83.99
6,98,568,66.86,3.6,568,0,266,98,266,72.73
9.5,123,738,52.77,4,738,0,462,123,462,62.7
12.2,138,820,46.36,4.4,820,0,612,138,612,54.7
13.5,141,869,42.52,4.2,292,7,703,300,488,49.72
14.4,139,881,39.17,4,171,7,720,322,435,48.73
14.8,132,865,37.19,3.8,322,7,665,276,474,51.94
14.8,120,812,36.28,3.6,812,0,543,120,543,58.67
14,101,702,37.45,2.8,59,7,365,155,177,67.87
11.4,67,467,43.85,1.8,467,1,159,67,159,78.64
8.9,0,0,51.52,1.4,0,7,0,0,0,90
7.9,0,0,54.75,1.5,0,7,0,0,0,103.05
7.1,0,0,57.3,1.5,0,4,0,0,0,115.98
6.4,0,0,59.5,1.5,0,7,0,0,0,129.18
5.8,0,0,61.33,1.5,0,7,0,0,0,142.56
5.2,0,0,63.18,1.5,0,0,0,0,0,156.01
4.6,0,0,65.11,1.6,0,0,0,0,0,169.23
4.1,0,0,66.55,1.7,0,0,0,0,0,174.68
3.8,0,0,67.02,1.8,0,0,0,0,0,162.29
3.2,0,0,68.63,2.1,0,0,0,0,0,148.88
2.8,0,0,68.83,2.3,0,0,0,0,0,135.45
2.5,0,0,68.12,2.4,0,0,0,0,0,122.15
2.2,0,0,67.2,2.6,0,0,0,0,0,109.07
2.7,0,0,62.74,3.1,0,0,0,0,0,96.34
4.5,46,199,53.67,4.1,199,0,67,46,67,84
7.1,101,548,43.76,4.6,548,0,264,101,264,72.72
10.3,133,707,35.25,5.1,707,0,458,133,458,62.67
13.1,150,787,36.62,5.8,787,0,606,150,606,54.63
14.6,158,829,41.65,5.9,829,0,695,158,695,49.62
15.2,156,838,41.9,5.9,838,0,711,156,711,48.59
15.2,148,823,42.46,5.9,823,0,657,148,657,51.78
14.9,132,774,43.34,5.7,774,0,537,132,537,58.5
13.9,111,658,46.17,5,658,0,360,111,360,67.7
11.5,75,412,53.89,3.5,412,0,157,75,157,78.49
9.3,0,0,62.23,2.5,0,0,0,0,0,89.88
8.2,0,0,65.99,2.5,0,0,0,0,0,102.91
7.3,0,0,67.86,2.4,0,0,0,0,0,115.84
6.3,0,0,68.65,2.4,0,0,0,0,0,129.05
5.4,0,0,67.69,2.3,0,0,0,0,0,142.43
4.5,0,0,66.55,2.1,0,0,0,0,0,155.88
3.7,0,0,66.46,1.9,0,0,0,0,0,169.08
3,0,0,68.1,1.8,0,0,0,0,0,174.65
2.7,0,0,69.5,1.7,0,0,0,0,0,162.35
2,0,0,73.85,1.7,0,0,0,0,0,148.94
1.5,0,0,77.7,1.5,0,0,0,0,0,135.51
1.1,0,0,81.26,1.4,0,0,0,0,0,122.2
0.8,0,0,84.34,1.3,0,4,0,0,0,109.11
1.2,0,0,82.99,1.3,0,7,0,0,0,96.37
3.1,47,184,73.14,1.7,184,0,66,47,66,84.01
5.8,101,555,61.05,2.1,215,7,266,117,181,72.71
9,127,732,49.79,2.3,732,0,464,127,464,62.63
11.7,140,822,42.77,2.6,822,0,617,140,617,54.56
12.8,147,863,39.48,2.4,863,0,707,147,707,49.51
13.5,146,872,37.15,2.2,872,0,724,146,724,48.44
13.7,140,854,35.97,2,317,7,670,279,476,51.62
13.5,132,791,35.8,1.7,37,7,547,215,234,58.33
12.8,108,689,37.04,1.5,0,7,371,97,97,67.54
11.4,72,454,40.53,1.1,61,7,164,77,89,78.33
10.2,0,0,44.12,0.9,0,4,0,0,0,89.75
9.7,0,0,45.93,0.9,0,0,0,0,0,102.76
9.1,0,0,48.24,1,0,4,0,0,0,115.7
8.5,0,0,50.7,1,0,7,0,0,0,128.92
7.9,0,0,53.32,1,0,7,0,0,0,142.3
7.2,0,0,56.36,1.1,0,7,0,0,0,155.75
6.5,0,0,59.57,1.1,0,7,0,0,0,168.94
6.2,0,0,61.23,1.2,0,7,0,0,0,174.6
6.1,0,0,61.99,1.2,0,6,0,0,0,162.4
5.4,0,0,65.27,1.1,0,7,0,0,0,149
4.7,0,0,68.61,1.2,0,6,0,0,0,135.56
4.3,0,0,70.54,1.2,0,7,0,0,0,122.24
4.1,0,0,71.47,1.1,0,7,0,0,0,109.15
4.4,0,0,69.78,1.1,0,0,0,0,0,96.39
5.6,43,271,64.06,1.4,31,7,71,36,40,84.02
7.1,88,627,57.62,1.7,627,0,274,88,274,72.7
9,111,785,50.52,1.5,785,0,472,111,472,62.59
11.4,121,869,42.4,1.2,869,0,626,121,626,54.48
13.2,125,914,35.97,0.9,914,0,720,125,720,49.39
14.2,122,928,32.27,0.7,928,0,740,122,740,48.29
14.9,114,919,29.86,0.7,919,0,687,114,687,51.45
15.1,103,876,28.61,0.7,876,0,565,103,565,58.16
14.6,86,791,28.78,0.5,791,0,390,86,390,67.37
13.4,59,585,30.61,0.3,585,0,179,59,179,78.17
12,0,0,33.47,0.5,0,0,0,0,0,89.63
10.9,0,0,36,0.8,0,0,0,0,0,102.62
9.8,0,0,38.83,1,0,4,0,0,0,115.56
8.8,0,0,41.6,1.1,0,0,0,0,0,128.78
8,0,0,43.95,1.1,0,0,0,0,0,142.17
7.4,0,0,45.87,1.1,0,0,0,0,0,155.62
6.8,0,0,47.84,1.1,0,7,0,0,0,168.79
6.2,0,0,49.85,1.1,0,0,0,0,0,174.54
5.9,0,0,50.95,1.1,0,4,0,0,0,162.44
5.5,0,0,52.43,1,0,7,0,0,0,149.05
5.2,0,0,53.59,0.9,0,7,0,0,0,135.61
4.8,0,0,55.17,0.9,0,4,0,0,0,122.29
4.5,0,0,56.5,0.9,0,7,0,0,0,109.18
4.6,0,0,56.42,0.8,0,4,0,0,0,96.41
5.9,39,341,51.75,1,341,1,74,39,74,84.03
7.8,79,670,45.62,1,670,0,279,79,279,72.68
9.8,106,795,39.89,1,0,3,473,123,123,62.54
12.1,124,853,33.54,1.4,853,0,621,124,621,54.39
13.8,130,890,28.57,1.6,890,0,711,130,711,49.26
15,119,921,25.61,1.3,296,7,734,312,510,48.13
15.8,110,915,23.73,1,444,7,682,251,528,51.27
15.9,99,872,23.11,0.9,410,7,562,208,425,57.98
15.2,90,759,23.82,0.8,251,7,384,159,257,67.2
13.7,68,504,26.05,0.8,0,4,173,25,25,78.01
12.1,0,0,28.93,1.1,0,7,0,0,0,89.49
11,0,0,31.23,1.2,0,7,0,0,0,102.47
10.2,0,0,33.03,1.3,0,7,0,0,0,115.42
9.6,0,0,34.43,1.4,0,7,0,0,0,128.65
8.9,0,0,36.09,1.3,0,4,0,0,0,142.04
8,0,0,38.25,1.3,0,7,0,0,0,155.49
7.3,0,0,39.93,1.5,0,7,0,0,0,168.64
7,0,0,40.49,1.6,0,7,0,0,0,174.47
6.8,0,0,40.78,1.6,0,3,0,0,0,162.48
6.4,0,0,41.57,1.6,0,7,0,0,0,149.1
6,0,0,42.4,1.5,0,7,0,0,0,135.66
5.4,0,0,43.83,1.5,0,4,0,0,0,122.33
5,0,0,44.69,1.6,0,4,0,0,0,109.21
5.6,0,0,42.65,1.8,0,4,0,0,0,96.42
7.9,39,319,36.44,2.9,319,0,72,39,72,84.02
10.8,78,667,30.18,3.7,0,3,277,79,79,72.65
13.8,99,810,24.96,3.8,324,7,474,189,339,62.48
16.9,112,880,20.29,4.2,196,3,626,275,390,54.3
19.5,123,908,16.68,4.4,424,7,717,273,550,49.13
21.6,129,906,13.57,4.5,906,0,735,129,735,47.97
22.9,133,869,11.28,4.7,869,0,679,133,679,51.09
23,130,793,10.48,4.5,793,0,553,130,553,57.8
21.2,117,656,11.53,3.2,8,3,373,139,142,67.02
17.4,85,379,14.85,2.1,379,0,165,85,165,77.84
14.5,0,0,18.21,2.2,0,7,0,0,0,89.36
13.3,0,0,19.82,2.6,0,7,0,0,0,102.32
12.4,0,0,20.58,3.2,0,7,0,0,0,115.28
11.7,0,0,20.47,3.9,0,7,0,0,0,128.52
11,0,0,20.19,4.7,0,7,0,0,0,141.92
10.2,0,0,20.49,5.1,0,7,0,0,0,155.36
9.4,0,0,23.07,5.1,0,7,0,0,0,168.49
8.7,0,0,29.97,4.9,0,7,0,0,0,174.38
8.4,0,0,38.37,4.7,0,7,0,0,0,162.51
7.5,0,0,47.81,4.6,0,7,0,0,0,149.14
6.8,0,0,55.89,4.6,0,4,0,0,0,135.7
6.1,0,0,63.21,4.6,0,4,0,0,0,122.36
5.5,0,0,69.67,4.4,0,7,0,0,0,109.23
5.2,0,0,74.02,4.6,0,7,0,0,0,96.43
6,49,65,71.92,5.5,65,0,56,49,56,84.01
7.7,136,392,66.25,6.4,31,7,253,115,124,72.62
9.5,177,582,60.51,6.9,134,7,447,207,269,62.42
10.6,205,674,56.11,6.9,674,1,599,205,599,54.2
11.4,222,712,51.26,6.8,712,0,689,222,689,48.99
12.3,227,722,45.83,6.8,722,0,712,227,712,47.79
13.1,221,693,41.33,6.9,693,0,658,221,658,50.9
13.4,211,602,39.22,6.8,602,0,533,211,533,57.61
12.8,175,447,41.02,6.2,447,0,351,175,351,66.84
11,111,188,48.14,4.6,188,0,151,111,151,77.67
9,0,0,57.59,3.4,0,0,0,0,0,89.22
8,0,0,63.63,3.1,0,0,0,0,0,102.18
7.3,0,0,67.8,3,0,0,0,0,0,115.14
6.6,0,0,71.49,3,0,0,0,0,0,128.38
6,0,0,74.6,3,0,0,0,0,0,141.79
5.4,0,0,77.65,2.9,0,0,0,0,0,155.22
4.9,0,0,80.24,3,0,0,0,0,0,168.34
4.4,0,0,82.79,3,0,0,0,0,0,174.29
4.1,0,0,84.27,3,0,0,0,0,0,162.54
3.4,0,0,88.23,2.9,0,0,0,0,0,149.18
2.9,0,0,91.03,2.9,0,0,0,0,0,135.74
2.5,0,0,93.25,2.8,0,0,0,0,0,122.39
2,0,0,96.3,2.7,0,0,0,0,0,109.25
2.3,0,0,94.26,3.2,0,0,0,0,0,96.44
3.7,50,117,85.32,3.8,117,0,62,50,62,84
6.4,119,474,70.9,4,474,0,261,119,261,72.58
9.7,155,661,57.23,4.3,661,0,462,155,462,62.35
11.9,175,754,48.39,4.5,754,0,618,175,618,54.09
13.1,187,795,43.42,4.3,795,0,710,187,710,48.84
13.9,185,812,39.89,4.2,812,0,732,185,732,47.62
14.3,176,797,37.51,4.2,797,0,680,176,680,50.71
14.3,157,745,36.33,4.2,745,0,558,157,558,57.42
13.4,131,631,37.66,3.5,631,0,381,131,381,66.66
10.9,88,396,44.04,2.3,396,0,174,88,174,77.5
8.4,0,0,52.37,1.7,0,0,0,0,0,89.08
7.3,0,0,56.75,1.7,0,0,0,0,0,102.03
6.5,0,0,60,1.6,0,0,0,0,0,115
5.9,0,0,62.27,1.5,0,0,0,0,0,128.25
5.2,0,0,64.7,1.5,0,0,0,0,0,141.66
4.5,0,0,66.82,1.5,0,0,0,0,0,155.09
3.8,0,0,68.34,1.7,0,0,0,0,0,168.18
3.2,0,0,68.45,1.9,0,0,0,0,0,174.18
2.9,0,0,65.94,2,0,0,0,0,0,162.56
2.1,0,0,64.69,2.3,0,0,0,0,0,149.22
1.6,0,0,61.58,2.3,0,0,0,0,0,135.77
1.1,0,0,59.11,2.3,0,0,0,0,0,122.41
0.7,0,0,57.67,2.3,0,0,0,0,0,109.26
1.2,0,0,54.21,2.7,0,0,0,0,0,96.44
3.3,44,278,46.24,3.7,278,0,74,44,74,83.98
6.1,89,666,38.07,4.1,666,0,289,89,289,72.54
9.6,110,832,30.01,4.4,832,0,497,110,497,62.28
12.5,122,912,22.9,5.2,912,0,658,122,658,53.98
13.8,131,943,19.57,5.3,943,0,753,131,753,48.69
14.6,133,948,17.93,5.2,948,0,775,133,775,47.43
14.9,130,929,17.19,5,929,0,721,130,721,50.51
14.8,121,877,17,4.8,877,0,595,121,595,57.23
13.6,103,761,18.14,3.8,761,0,407,103,407,66.48
10.6,74,530,21.97,2.4,530,0,190,74,190,77.33
7.8,11,15,26.49,1.8,15,0,11,11,11,88.93
6.8,0,0,28.22,1.8,0,0,0,0,0,101.88
6.2,0,0,29.11,1.9,0,0,0,0,0,114.86
5.7,0,0,29.65,2.1,0,0,0,0,0,128.12
5.3,0,0,29.81,2.4,0,0,0,0,0,141.53
4.9,0,0,29.73,2.8,0,0,0,0,0,154.96
4.5,0,0,29.48,3,0,0,0,0,0,168.02
4.1,0,0,29.13,3.1,0,0,0,0,0,174.06
3.9,0,0,28.35,3.2,0,0,0,0,0,162.57
3.7,0,0,28.07,3.8,0,0,0,0,0,149.24
3.7,0,0,28.86,4.3,0,0,0,0,0,135.8
3.5,0,0,32.07,4.3,0,0,0,0,0,122.43
3.2,0,0,36.2,4.1,0,0,0,0,0,109.27
